channel,month,product_grouping,product_quantity,sales
Wholesale,2021-07-01,11127,761,9.995
Wholesale,2021-07-01,11116,1,6.495
Wholesale,2021-07-01,11130,1383,0
Wholesale,2021-07-01,11119,810,0
Wholesale,2021-07-01,11124,120,0
Wholesale,2021-07-01,11125,360,0
Wholesale,2021-07-01,11132,150,0
Wholesale,2021-07-01,11133,1980,0
Wholesale,2021-07-01,11135,507,0
Wholesale,2021-07-01,11136,100,0
E-commerce 1,2021-06-01,11133,11734,117079.159999983
Website,2021-06-01,11113,2689,74909.09495
Website,2021-06-01,11137,1977,54094.5998500008
Website,2021-06-01,11127,4219,50545.0298000021
Retailer 1,2021-06-01,11127,7164,42045
Website,2021-06-01,11135,3453,38598.2849000012
Retailer 1,2021-06-01,11135,6252,31260
E-commerce 1,2021-06-01,11127,2822,28205.8899999994
Website,2021-06-01,11118,882,26104.2899999999
Website,2021-06-01,11130,2285,23710.3449499999
Website,2021-06-01,11119,2083,20110.0199
Retailer 1,2021-06-01,11123,1572,19650
Website,2021-06-01,11124,1279,17450.5400000001
Website,2021-06-01,11120,3293,13520.3675000002
Website,2021-06-01,11133,1522,11264.09535
Wholesale,2021-06-01,11127,2550,11088
Website,2021-06-01,11136,1232,11029.8949000001
Website,2021-06-01,11125,1302,10831.4850000001
Retailer 1,2021-06-01,11133,1548,10449
Retailer 1,2021-06-01,11130,1494,7470
Website,2021-06-01,11132,848,6319.10989999996
Website,2021-06-01,11129,245,5466.69
E-commerce 1,2021-06-01,11124,214,2673.92999999999
E-commerce 1,2021-06-01,11128,214,2340.87
Website,2021-06-01,11140,1341,1978.94574999998
Website,2021-06-01,11112,131,1940.46
Website,2021-06-01,11128,214,1876.975
Retailer 1,2021-06-01,11124,228,1425
Website,2021-06-01,11145,213,1047.455
Website,2021-06-01,11134,151,903.795
Retailer 2,2021-06-01,11123,63,819
E-commerce 2,2021-06-01,11113,20,564.91
Retailer 2,2021-06-01,11127,99,544.5
Website,2021-06-01,11143,47,486.585
Website,2021-06-01,11142,62,323.475
Website,2021-06-01,11146,67,316.25
E-commerce 2,2021-06-01,11127,14,277.43
E-commerce 1,2021-06-01,11112,13,227.435
Website,2021-06-01,11123,25,225
Website,2021-06-01,11144,24,204.41
Wholesale,2021-06-01,11124,38,194.4
E-commerce 2,2021-06-01,11135,13,167.435
Website,2021-06-01,11149,674,124.625
Retailer 2,2021-06-01,11124,18,121.5
Website,2021-06-01,11126,16,106.955
Website,2021-06-01,11114,504,102.76
E-commerce 2,2021-06-01,11119,7,94.965
E-commerce 2,2021-06-01,11125,5,74.975
Retailer 1,2021-06-01,11128,12,66
E-commerce 2,2021-06-01,11130,5,49.975
E-commerce 2,2021-06-01,11133,4,39.98
Wholesale,2021-06-01,11123,12,24.995
Wholesale,2021-06-01,11133,14,9.995
Wholesale,2021-06-01,11132,8,7.495
Wholesale,2021-06-01,11137,2,0
Wholesale,2021-06-01,11135,23,0
Wholesale,2021-06-01,11130,2,0
Wholesale,2021-06-01,11120,3,0
Wholesale,2021-06-01,11119,8,0
Wholesale,2021-06-01,11136,1,0
E-commerce 1,2021-05-01,11133,13965,139258.900699973
Website,2021-05-01,11137,3599,96452.1948499988
Website,2021-05-01,11113,3183,86654.2299499993
Website,2021-05-01,11127,4507,53750.5895500015
Website,2021-05-01,11135,3673,41410.4949000015
E-commerce 1,2021-05-01,11127,4111,41089.4449999994
Retailer 1,2021-05-01,11135,7752,38760
Retailer 1,2021-05-01,11127,6300,32775
Website,2021-05-01,11118,990,28722.5099999998
Website,2021-05-01,11119,2443,22772.9748499999
Website,2021-05-01,11130,2127,21508.1198499998
Website,2021-05-01,11124,1562,21123.9099000002
Website,2021-05-01,11133,1873,14071.0900500004
Wholesale,2021-05-01,11127,1986,12900
Website,2021-05-01,11120,3046,11959.5746
Wholesale,2021-05-01,11135,1860,11550
Website,2021-05-01,11125,1406,11305.24
Retailer 1,2021-05-01,11123,840,10500
Website,2021-05-01,11136,703,7899.22999999995
Website,2021-05-01,11132,1042,6999.72994999995
Wholesale,2021-05-01,11119,1100,6750
Website,2021-05-01,11129,252,5724.76995
Wholesale,2021-05-01,11130,484,5400
Website,2021-05-01,11143,489,5057.06499999998
Retailer 1,2021-05-01,11133,648,4374
Retailer 1,2021-05-01,11130,606,3030
E-commerce 1,2021-05-01,11128,221,2406.81
Website,2021-05-01,11112,142,2245.55499999999
E-commerce 1,2021-05-01,11124,166,2074.16999999999
Wholesale,2021-05-01,11125,240,1950
Website,2021-05-01,11128,213,1840.71499999999
Website,2021-05-01,11140,1224,1723.45499999999
Wholesale,2021-05-01,11120,600,1237.5
Website,2021-05-01,11123,81,999.995
Retailer 2,2021-05-01,11123,76,988
Retailer 1,2021-05-01,11124,132,825
E-commerce 2,2021-05-01,11113,27,804.885
Website,2021-05-01,11145,151,744.295
Website,2021-05-01,11134,116,701.525
Retailer 2,2021-05-01,11127,124,682
Wholesale,2021-05-01,11132,100,375
Website,2021-05-01,11149,1544,263.78
Website,2021-05-01,11142,49,250.105
Website,2021-05-01,11146,47,225.41
Website,2021-05-01,11144,23,211.405
E-commerce 1,2021-05-01,11112,11,192.445
E-commerce 2,2021-05-01,11135,15,187.425
E-commerce 2,2021-05-01,11127,12,157.44
Website,2021-05-01,11126,16,130.91
E-commerce 2,2021-05-01,11130,8,129.96
E-commerce 2,2021-05-01,11119,9,127.455
