country,billing_city,billing_region,sum,latitude,longitude
United States,Nursery,Texas,23.795,28.923333,-97.098333
United States,Oxford,Florida,9.895,28.927222,-82.0375
United States,Lecanto,Florida,24.995,28.9303,-82.4905
United States,Umatilla,Florida,60.99,28.931443,-81.671653
United States,The Villages,Florida,24.995,28.9335,-82.0046
United States,Hobson,Texas,60.48,28.944499,-97.970743
United States,Orange City,Florida,97.49,28.945291,-81.299524
United States,Edna,Texas,67.12,28.952714,-96.648766
United States,Markham,Texas,202.195,28.954701,-96.092768
United States,Crystal River,Florida,142.175,28.9593,-82.6259
United States,Freeport,Texas,27.49,28.96968,-95.371389
United States,Lake Helen,Florida,9.995,28.980567,-81.233367
United States,Falls City,Texas,35.745,28.981413,-98.015632
United States,Edgewater,Florida,42.99,28.981801,-80.910344
United States,Bay City,Texas,220.315,28.9825,-95.969167
United States,Yorktown,Texas,132.485,28.989191,-97.512056
United States,Pleasanton,Texas,109.015,28.992368,-98.483061
United States,Summerfield,Florida,146.74,28.9958,-82.0214
United States,Dunnellon,Florida,256.25,28.9965,-82.509
United States,Paisley,Florida,87.735,28.999323,-81.503009
United States,Van Vleck,Texas,29.985,29.013879,-95.938903
United States,Altoona,Florida,30.495,29.021935,-81.632322
United States,Brazoria,Texas,195.415,29.023642,-95.586683
United States,New Smyrna Beach,Florida,452.22,29.024672,-80.958436
United States,Deland,Florida,264.18,29.02659,-81.334853
United States,Lake Jackson,Texas,698.795,29.039275,-95.440119
United States,Sweeny,Texas,34.99,29.041508,-95.700363
United States,Dunnellon,Florida,256.25,29.0488,-82.4611
United States,Belleview,Florida,190.285,29.052,-82.042
United States,Poth,Texas,83.975,29.06191,-98.08247
United States,Cuero,Texas,128.89,29.090969,-97.281247
United States,Poteet,Texas,24.995,29.099405,-98.624071
United States,De Leon Springs,Florida,148.98,29.116592,-81.348762
United States,Port Orange,Florida,687.385,29.121389,-80.976667
United States,Floresville,Texas,217.685,29.169338,-98.193589
United States,Angleton,Texas,590.41,29.181049,-95.446661
United States,Ocala,Florida,2214.615,29.1981,-82.0974
United States,El Campo,Texas,174.21,29.200776,-96.274266
United States,Daytona Beach,Florida,147.475,29.201168,-81.037071
United States,Silver Springs,Florida,24.995,29.2076,-81.9219
United States,Somerset,Texas,56.74,29.211561,-98.621401
United States,Natalia,Texas,9.995,29.211669,-98.855158
United States,Uvalde,Texas,250.715,29.217238,-99.793074
United States,Pierson,Florida,36.115,29.222596,-81.43533
United States,Danbury,Texas,4.4,29.229082,-95.343465
United States,Elmendorf,Texas,9,29.230793,-98.371982
United States,Lytle,Texas,121.725,29.236568,-98.794489
United States,Boling,Texas,42.99,29.252874,-95.974045
United States,Yoakum,Texas,293.57,29.283954,-97.13063
United States,Ormond Beach,Florida,269.155,29.2855,-81.0561
United States,Knippa,Texas,9.995,29.291119,-99.637171
United States,Galveston,Texas,401.015,29.298272,-94.79297
United States,Anthony,Florida,29.985,29.304785,-82.126157
United States,Brackettville,Texas,54.98,29.30963,-100.415495
United States,Wharton,Texas,67.985,29.320488,-96.085828
United States,Hitchcock,Texas,44.99,29.339835,-94.992591
United States,La Vernia,Texas,141.895,29.350905,-98.112971
United States,Castroville,Texas,151.215,29.35532,-98.882391
United States,Hondo,Texas,85.485,29.356065,-99.127637
United States,La Marque,Texas,276.15,29.3676,-94.974159
United States,Santa Fe,Texas,261.07,29.371854,-95.089429
United States,Del Rio,Texas,499.51,29.373881,-100.891555
United States,Adkins,Texas,100.475,29.380542,-98.26504
United States,Citra,Florida,54.39,29.39182,-82.106222
United States,Texas City,Texas,205.45,29.396984,-94.920298
United States,Williston,Florida,53.415,29.397737,-82.485601
United States,Needville,Texas,106.26,29.41165,-95.827288
United States,Alvin,Texas,512.915,29.41195,-95.251535
United States,Rosharon,Texas,631.725,29.420329,-95.453732
United States,Shiner,Texas,9.995,29.428038,-97.163955
United States,Saint Hedwig,Texas,33.995,29.435284,-98.195223
United States,Hallettsville,Texas,22.49,29.442609,-96.923423
United States,Bunnell,Florida,69.985,29.45616,-81.324431
United States,Port Bolivar,Texas,22.49,29.459788,-94.611678
United States,Bronson,Florida,155.225,29.460952,-82.635644
United States,Chauvin,Louisiana,45,29.463401,-90.597952
United States,Dickinson,Texas,741.85,29.466033,-95.034496
United States,San Antonio,Texas,24550.955,29.468525,-98.526352
United States,Manvel,Texas,659.32,29.469381,-95.35033
United States,Flagler Beach,Florida,253.95,29.474978,-81.130288
United States,Chiefland,Florida,118.7,29.483243,-82.880896
United States,Bacliff,Texas,173.455,29.505506,-94.989293
United States,Gonzales,Texas,72.465,29.50857,-97.449456
United States,League City,Texas,2035.07,29.517281,-95.096274
United States,Converse,Texas,830.985,29.517331,-98.321673
United States,Friendswood,Texas,723.67,29.522399,-95.187888
United States,Cut Off,Louisiana,9.995,29.523188,-90.339298
United States,Micanopy,Florida,20.995,29.526029,-82.279698
United States,Fresno,Texas,496.995,29.52931,-95.462608
United States,Kemah,Texas,209.96,29.543823,-95.039209
United States,Rosenberg,Texas,1011.465,29.549727,-95.798213
United States,Universal City,Texas,149.7,29.551608,-98.306742
United States,Webster,Texas,74.98,29.55641,-95.143985
United States,Presidio,Texas,79.99,29.557302,-104.35511
United States,Seguin,Texas,539.28,29.561316,-97.962801
United States,Pearland,Texas,2863.8,29.561656,-95.272069
United States,Lafitte,Louisiana,32.715,29.562194,-90.056633
United States,Schertz,Texas,851.9,29.568159,-98.272214
United States,Marion,Texas,20.25,29.56835,-98.151709
United States,Moulton,Texas,51.75,29.569992,-97.103122
United States,Missouri City,Texas,1693.62,29.570434,-95.542284
United States,Larose,Louisiana,121.24,29.572222,-90.381667
United States,Seabrook,Texas,247.46,29.572895,-95.028739
United States,Hawthorne,Florida,22.49,29.573998,-82.105625
United States,Cibolo,Texas,572.01,29.574971,-98.227983
United States,Richmond,Texas,3734.595,29.581944,-95.760556
United States,Palm Coast,Florida,346.36,29.5847,-81.208
United States,San Mateo,Florida,9.995,29.588827,-81.5921
United States,Helotes,Texas,389.39,29.592203,-98.703534
United States,Houma,Louisiana,872.52,29.59433,-90.754808
United States,Houston,Texas,57075.56,29.596156,-95.458709
United States,Lockport,Louisiana,111.38,29.603493,-90.490614
United States,Stafford,Texas,388.28,29.622816,-95.567764
United States,Old Town,Florida,18,29.624558,-83.057393
United States,Trenton,Florida,103.955,29.626375,-82.809345
United States,Interlachen,Florida,17.99,29.627001,-81.889432
United States,Lakehills,Texas,34.99,29.631513,-98.922118
United States,Sugar Land,Texas,3450.57,29.634153,-95.621856
United States,Wallis,Texas,24.995,29.63968,-96.045574
